,name,lat,long,place,state,cluster,days
276,"Suria KLCC, Kuala Lumpur",3.158074,101.712606,Suria KLCC,Kuala Lumpur,1,1
269,"Kuala Lumpur Craft Complex, Kuala Lumpur",3.14946,101.7187,Kuala Lumpur Craft Complex,Kuala Lumpur,1,1
270,"Bukit Nanas Forest Reserve, Kuala Lumpur",3.15035,101.702,Bukit Nanas Forest Reserve,Kuala Lumpur,1,1
259,"KLCC Aquaria, Kuala Lumpur",3.154753,101.71222,KLCC Aquaria,Kuala Lumpur,1,1
258,"Petronas Twin Towers (KLCC), Kuala Lumpur",3.15785,101.71165,Petronas Twin Towers (KLCC),Kuala Lumpur,1,1
25,"Bintang Walk, Kuala Lumpur",3.146504,101.710964,Bintang Walk,Kuala Lumpur,1,1
24,"Bintang Walk, Kuala Lumpur",3.148176,101.713132,Bintang Walk,Kuala Lumpur,1,1
266,"Petrosains, Kuala Lumpur",3.158068,101.712633,Petrosains,Kuala Lumpur,1,1
15,"Jalan Alor, Kuala Lumpur",3.146365,101.709656,Jalan Alor,Kuala Lumpur,1,1
14,"Jalan Alor, Kuala Lumpur",3.145615,101.70855,Jalan Alor,Kuala Lumpur,1,1
265,"KL Tower, Kuala Lumpur",3.152836,101.703733,KL Tower,Kuala Lumpur,1,1
278,"Starhill Gallery, Kuala Lumpur",3.147287,101.713754,Starhill Gallery,Kuala Lumpur,1,1
279,"KL Plaza, Kuala Lumpur",3.14704,101.712928,KL Plaza,Kuala Lumpur,1,1
280,"Bukit Bintang Plaza, Kuala Lumpur",3.145647,101.710728,Bukit Bintang Plaza,Kuala Lumpur,1,1
281,"Sungei Wang Plaza, Kuala Lumpur",3.144748,101.711029,Sungei Wang Plaza,Kuala Lumpur,1,1
282,"Lot 10, Kuala Lumpur",3.14644,101.711909,Lot 10,Kuala Lumpur,1,1
283,"Berjaya Times Square, Kuala Lumpur",3.142766,101.71075,Berjaya Times Square,Kuala Lumpur,1,1
284,"Low Yat Plaza, Kuala Lumpur",3.14418,101.709902,Low Yat Plaza,Kuala Lumpur,1,1
285,"Ampang Park, Kuala Lumpur",3.160517,101.719311,Ampang Park,Kuala Lumpur,1,1
277,"Pavilion Kuala Lumpur, Kuala Lumpur",3.148872,101.713314,Pavilion Kuala Lumpur,Kuala Lumpur,1,1
